sbj_num,producto1,olor,color,overall_liking,sal,queso,crujiente,textura,porosidad
181030232,Fórmula 182,2,2,7,2,2,2,2,2
181030232,Fórmula 781,1,3,7,2,1,1,2,1
181067150,Fórmula 781,1,1,9,3,3,1,3,3
181067150,Fórmula 182,3,1,9,3,1,2,1,1
181120913,Fórmula 182,3,2,7,2,2,2,2,2
181120913,Fórmula 781,1,3,7,2,1,3,3,1
181063825,Fórmula 781,1,2,7,2,2,1,2,2
181063825,Fórmula 182,3,1,6,3,3,1,1,3
180975391,Fórmula 781,2,2,7,2,3,2,2,2
180975391,Fórmula 182,1,1,4,1,1,1,1,1
181119828,Fórmula 182,2,2,9,2,2,2,3,2
181119828,Fórmula 781,2,2,8,2,2,3,3,3
181009153,Fórmula 182,2,2,8,3,2,2,3,2
181009153,Fórmula 781,2,2,9,2,2,2,2,2
180946533,Fórmula 781,1,2,9,2,1,2,2,2
180946533,Fórmula 182,1,1,6,3,1,2,1,3
181060493,Fórmula 781,2,3,8,2,2,1,1,2
181060493,Fórmula 182,2,2,8,3,2,2,2,2
181032088,Fórmula 182,2,2,8,2,2,2,2,2
181032088,Fórmula 781,2,3,8,2,2,2,2,2
181011593,Fórmula 781,2,2,8,2,2,1,2,1
181011593,Fórmula 182,3,1,7,1,1,1,2,1
181119951,Fórmula 182,2,3,9,2,1,2,1,2
181119951,Fórmula 781,3,3,7,2,3,2,2,2
181032182,Fórmula 781,2,2,9,2,3,2,2,2
181032182,Fórmula 182,1,1,7,1,1,1,1,1
181020082,Fórmula 781,2,2,9,2,2,2,2,2
181020082,Fórmula 182,2,2,9,2,2,2,2,2
181032381,Fórmula 182,2,2,7,2,2,2,2,2
181032381,Fórmula 781,2,2,9,1,2,2,2,2
181011558,Fórmula 781,2,2,9,2,2,2,2,2
181011558,Fórmula 182,2,2,8,2,2,2,2,2
180964244,Fórmula 182,2,2,9,2,3,2,3,2
180964244,Fórmula 781,3,3,7,3,2,3,2,2
181019999,Fórmula 182,2,2,9,2,2,2,2,2
181019999,Fórmula 781,1,1,9,2,2,2,2,2
181065570,Fórmula 781,2,2,9,2,2,2,2,2
181065570,Fórmula 182,1,1,7,2,2,2,1,1
180966091,Fórmula 781,2,2,9,2,2,2,2,2
180966091,Fórmula 182,3,1,7,2,1,1,2,2
181015306,Fórmula 182,3,3,7,1,1,3,3,3
181015306,Fórmula 781,3,3,9,3,3,3,3,3
180975429,Fórmula 781,3,2,8,1,3,3,3,1
180975429,Fórmula 182,1,1,7,3,2,1,1,3
181062173,Fórmula 182,2,3,9,2,3,2,2,3
181062173,Fórmula 781,1,3,9,2,2,3,1,2
180967102,Fórmula 781,1,2,6,2,1,2,2,1
180967102,Fórmula 182,2,3,6,1,1,1,1,3
180969933,Fórmula 182,2,2,9,2,2,2,2,2
180969933,Fórmula 781,2,2,9,2,2,2,2,2
180977078,Fórmula 781,1,3,7,1,3,3,3,3
180977078,Fórmula 182,1,1,8,3,1,3,1,1
180948412,Fórmula 182,2,2,9,2,2,2,2,2
180948412,Fórmula 781,2,2,9,2,2,2,2,2
181125963,Fórmula 781,2,2,9,2,3,3,3,2
181125963,Fórmula 182,3,1,9,2,3,3,3,2
180965611,Fórmula 781,2,2,7,3,2,1,3,2
180965611,Fórmula 182,1,1,5,3,1,2,2,2
181070490,Fórmula 781,2,2,9,2,2,2,2,2
181070490,Fórmula 182,2,2,9,2,2,2,2,3
181031765,Fórmula 781,2,2,8,1,2,1,2,3
181031765,Fórmula 182,3,2,9,1,2,1,2,3
181031764,Fórmula 182,3,2,7,1,3,1,2,1
181031764,Fórmula 781,2,2,7,2,2,2,2,3
181065626,Fórmula 781,2,2,8,2,2,2,2,2
181065626,Fórmula 182,3,1,8,3,2,2,2,2
181060887,Fórmula 182,2,2,9,2,2,2,2,2
181060887,Fórmula 781,2,3,9,2,2,2,2,2
181126494,Fórmula 781,2,2,9,2,2,2,2,2
181126494,Fórmula 182,2,3,9,3,2,2,2,2
181060598,Fórmula 781,1,3,6,3,3,1,2,2
181060598,Fórmula 182,2,1,7,1,2,2,2,2
180972012,Fórmula 182,1,2,9,1,2,2,1,1
180972012,Fórmula 781,1,2,8,1,2,2,1,1
181016136,Fórmula 781,2,2,7,2,2,2,2,2
181016136,Fórmula 182,2,2,9,2,2,3,2,2
180946716,Fórmula 781,3,3,7,2,2,3,2,3
180946716,Fórmula 182,3,3,8,1,3,3,2,2
180977203,Fórmula 781,2,2,7,2,2,2,2,2
180977203,Fórmula 182,1,1,7,1,2,1,1,2
181009667,Fórmula 182,2,2,8,2,2,2,2,2
