sbj_num,formula,overall_liking_score,atributo,nivel,producto
181030232,182,7,olor,JAR,Churritos Prueba
181030232,182,7,color,JAR,Churritos Prueba
181030232,182,7,sal,JAR,Churritos Prueba
181030232,182,7,queso,JAR,Churritos Prueba
181030232,182,7,crujiente,JAR,Churritos Prueba
181030232,182,7,textura,JAR,Churritos Prueba
181030232,182,7,porosidad,JAR,Churritos Prueba
181067150,182,9,olor,TM,Churritos Prueba
181067150,182,9,color,TL,Churritos Prueba
181067150,182,9,sal,TM,Churritos Prueba
181067150,182,9,queso,TL,Churritos Prueba
181067150,182,9,crujiente,JAR,Churritos Prueba
181067150,182,9,textura,TL,Churritos Prueba
181067150,182,9,porosidad,TL,Churritos Prueba
181120913,182,7,olor,TM,Churritos Prueba
181120913,182,7,color,JAR,Churritos Prueba
181120913,182,7,sal,JAR,Churritos Prueba
181120913,182,7,queso,JAR,Churritos Prueba
181120913,182,7,crujiente,JAR,Churritos Prueba
181120913,182,7,textura,JAR,Churritos Prueba
181120913,182,7,porosidad,JAR,Churritos Prueba
181063825,182,6,olor,TM,Churritos Prueba
181063825,182,6,color,TL,Churritos Prueba
181063825,182,6,sal,TM,Churritos Prueba
181063825,182,6,queso,TM,Churritos Prueba
181063825,182,6,crujiente,TL,Churritos Prueba
181063825,182,6,textura,TL,Churritos Prueba
181063825,182,6,porosidad,TM,Churritos Prueba
180975391,182,4,olor,TL,Churritos Prueba
180975391,182,4,color,TL,Churritos Prueba
180975391,182,4,sal,TL,Churritos Prueba
180975391,182,4,queso,TL,Churritos Prueba
180975391,182,4,crujiente,TL,Churritos Prueba
180975391,182,4,textura,TL,Churritos Prueba
180975391,182,4,porosidad,TL,Churritos Prueba
181119828,182,9,olor,JAR,Churritos Prueba
181119828,182,9,color,JAR,Churritos Prueba
181119828,182,9,sal,JAR,Churritos Prueba
181119828,182,9,queso,JAR,Churritos Prueba
181119828,182,9,crujiente,JAR,Churritos Prueba
181119828,182,9,textura,TM,Churritos Prueba
181119828,182,9,porosidad,JAR,Churritos Prueba
181009153,182,8,olor,JAR,Churritos Prueba
181009153,182,8,color,JAR,Churritos Prueba
181009153,182,8,sal,TM,Churritos Prueba
181009153,182,8,queso,JAR,Churritos Prueba
181009153,182,8,crujiente,JAR,Churritos Prueba
181009153,182,8,textura,TM,Churritos Prueba
181009153,182,8,porosidad,JAR,Churritos Prueba
180946533,182,6,olor,TL,Churritos Prueba
180946533,182,6,color,TL,Churritos Prueba
180946533,182,6,sal,TM,Churritos Prueba
180946533,182,6,queso,TL,Churritos Prueba
180946533,182,6,crujiente,JAR,Churritos Prueba
180946533,182,6,textura,TL,Churritos Prueba
180946533,182,6,porosidad,TM,Churritos Prueba
181060493,182,8,olor,JAR,Churritos Prueba
181060493,182,8,color,JAR,Churritos Prueba
181060493,182,8,sal,TM,Churritos Prueba
181060493,182,8,queso,JAR,Churritos Prueba
181060493,182,8,crujiente,JAR,Churritos Prueba
181060493,182,8,textura,JAR,Churritos Prueba
181060493,182,8,porosidad,JAR,Churritos Prueba
181032088,182,8,olor,JAR,Churritos Prueba
181032088,182,8,color,JAR,Churritos Prueba
181032088,182,8,sal,JAR,Churritos Prueba
181032088,182,8,queso,JAR,Churritos Prueba
181032088,182,8,crujiente,JAR,Churritos Prueba
181032088,182,8,textura,JAR,Churritos Prueba
181032088,182,8,porosidad,JAR,Churritos Prueba
181011593,182,7,olor,TM,Churritos Prueba
181011593,182,7,color,TL,Churritos Prueba
181011593,182,7,sal,TL,Churritos Prueba
181011593,182,7,queso,TL,Churritos Prueba
181011593,182,7,crujiente,TL,Churritos Prueba
181011593,182,7,textura,JAR,Churritos Prueba
181011593,182,7,porosidad,TL,Churritos Prueba
181119951,182,9,olor,JAR,Churritos Prueba
181119951,182,9,color,TM,Churritos Prueba
181119951,182,9,sal,JAR,Churritos Prueba
181119951,182,9,queso,TL,Churritos Prueba
181119951,182,9,crujiente,JAR,Churritos Prueba
181119951,182,9,textura,TL,Churritos Prueba
181119951,182,9,porosidad,JAR,Churritos Prueba
181032182,182,7,olor,TL,Churritos Prueba
181032182,182,7,color,TL,Churritos Prueba
181032182,182,7,sal,TL,Churritos Prueba
181032182,182,7,queso,TL,Churritos Prueba
181032182,182,7,crujiente,TL,Churritos Prueba
181032182,182,7,textura,TL,Churritos Prueba
181032182,182,7,porosidad,TL,Churritos Prueba
181020082,182,9,olor,JAR,Churritos Prueba
181020082,182,9,color,JAR,Churritos Prueba
181020082,182,9,sal,JAR,Churritos Prueba
181020082,182,9,queso,JAR,Churritos Prueba
181020082,182,9,crujiente,JAR,Churritos Prueba
181020082,182,9,textura,JAR,Churritos Prueba
181020082,182,9,porosidad,JAR,Churritos Prueba
181032381,182,7,olor,JAR,Churritos Prueba
181032381,182,7,color,JAR,Churritos Prueba
181032381,182,7,sal,JAR,Churritos Prueba
181032381,182,7,queso,JAR,Churritos Prueba
